"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
336,"2020-05-01 00:01:06.3380","2020-05-01 00:06:42.9560",2017,"E 43 St & 2 Ave",40.75022392,-73.97121414,465,"Broadway & W 41 St",40.75513557,-73.98658032,18015,"Subscriber",1993,1
853,"2020-05-01 00:01:08.1950","2020-05-01 00:15:21.2150",3376,"E 65 St & 2 Ave",40.76471851944339,-73.96222069859505,478,"11 Ave & W 41 St",40.76030096,-73.99884222,35905,"Subscriber",1989,1
78,"2020-05-01 00:01:08.5260","2020-05-01 00:02:27.0490",396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,3789,"Fulton St & Irving Pl",40.68186,-73.959432,33350,"Subscriber",1938,2
1185,"2020-05-01 00:02:22.4380","2020-05-01 00:22:08.1220",3630,"Frederick Douglass Blvd & W 115 St",40.8038654,-73.9559308,3506,"Lexington Ave & E 120 St",40.8013066,-73.9398167,43790,"Subscriber",1996,1
272,"2020-05-01 00:02:32.8280","2020-05-01 00:07:05.0880",3776,"Central Ave & Starr Street",40.700003,-73.92834,3068,"Humboldt St & Varet St",40.7031724,-73.940636,39912,"Subscriber",1993,1
412,"2020-05-01 00:03:35.9370","2020-05-01 00:10:28.0640",3041,"Kingston Ave & Herkimer St",40.67890679,-73.94142771,3059,"Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,37769,"Subscriber",1969,0
925,"2020-05-01 00:04:12.4690","2020-05-01 00:19:37.7330",3142,"1 Ave & E 62 St",40.7612274,-73.96094022,3521,"Lenox Ave & W 111 St",40.7987859,-73.9523,37596,"Subscriber",1991,1
75,"2020-05-01 00:04:52.9410","2020-05-01 00:06:08.7980",396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,3789,"Fulton St & Irving Pl",40.68186,-73.959432,38981,"Subscriber",1938,2
170,"2020-05-01 00:04:58.2180","2020-05-01 00:07:49.0400",396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,18688,"Subscriber",1972,1
594,"2020-05-01 00:05:06.1270","2020-05-01 00:15:00.6320",504,"1 Ave & E 16 St [temporarily removed]",40.73221853,-73.98165557,307,"Canal St & Rutgers St",40.71427487,-73.98990025,42836,"Subscriber",1992,1
238,"2020-05-01 00:05:52.8200","2020-05-01 00:09:51.0700",3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,40103,"Subscriber",1958,1
739,"2020-05-01 00:06:31.1650","2020-05-01 00:18:50.1880",3156,"E 72 St & York Ave",40.76663814,-73.95348296,3325,"E 95 St & 3 Ave",40.7849032,-73.950503,19298,"Subscriber",1992,1
407,"2020-05-01 00:07:41.5520","2020-05-01 00:14:28.8400",494,"W 26 St & 8 Ave",40.74734825,-73.99723551,3707,"Lexington Ave & E 26 St [temporarily removed]",40.741459,-73.983293,34073,"Subscriber",1968,2
303,"2020-05-01 00:08:22.7500","2020-05-01 00:13:25.7620",503,"E 20 St & Park Ave",40.73827428,-73.98751968,466,"W 25 St & 6 Ave",40.74395411,-73.99144871,37530,"Subscriber",1980,1
3171,"2020-05-01 00:08:45.4930","2020-05-01 01:01:36.6520",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,3746,"6 Ave & Broome St",40.724308321602166,-74.00473035871983,40730,"Customer",1969,0
86,"2020-05-01 00:09:00.1590","2020-05-01 00:10:26.5900",396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,3789,"Fulton St & Irving Pl",40.68186,-73.959432,15157,"Subscriber",1938,2
916,"2020-05-01 00:09:23.0670","2020-05-01 00:24:39.1070",3101,"N 12 St & Bedford Ave",40.72079821,-73.95484712,3056,"Kosciuszko St & Nostrand Ave",40.69072549,-73.95133465,43260,"Subscriber",1991,1
1097,"2020-05-01 00:09:25.1300","2020-05-01 00:27:42.5740",3287,"W 87 St & West End Ave",40.789622,-73.97757,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,41136,"Subscriber",1962,1
245,"2020-05-01 00:10:19.1860","2020-05-01 00:14:24.9870",260,"Broad St & Bridge St",40.70365182,-74.01167797,363,"West Thames St",40.70834698,-74.01713445,43408,"Subscriber",1956,1
